epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,23.9978,1.23918,1.70372,1.51086,1,0.16667,0.58332,0.34999,1.68298,2.49522,1.8575,0.027013,1.29685e-05,1.29685e-05
75,24.3038,1.37779,1.92337,1.49503,1,0.33333,0.66665,0.34966,1.5919,2.4025,1.80314,0.0260123,1.2295e-05,1.2295e-05
76,24.5982,1.14867,1.31303,1.55496,1,0.33333,0.66665,0.34966,1.5919,2.4025,1.80314,0.0250116,1.16237e-05,1.16237e-05
77,24.8988,0.96952,1.33032,1.09069,1,0.33333,0.66665,0.34966,1.5919,2.4025,1.80314,0.024011,1.09562e-05,1.09562e-05
78,25.2119,1.36074,1.62967,1.65017,1,0.5,0.75,0.42477,1.55011,2.16387,1.69524,0.0230103,1.02945e-05,1.02945e-05
79,25.5149,0.88618,1.44109,1.29106,1,0.5,0.75,0.42477,1.55011,2.16387,1.69524,0.0220096,9.64048e-06,9.64048e-06
80,25.8189,0.89547,1.02139,1.13199,1,0.5,0.75,0.42477,1.55011,2.16387,1.69524,0.021009,8.99599e-06,8.99599e-06
81,26.1549,0.8433,1.46207,1.32197,1,0.66667,0.8333,0.50849,1.4729,2.02393,1.64292,0.0200084,8.36293e-06,8.36293e-06
82,26.4686,1.50491,1.05255,1.8203,1,0.66667,0.8333,0.50849,1.4729,2.02393,1.64292,0.0190077,7.7432e-06,7.7432e-06
83,26.7665,1.00078,1.36615,1.39539,1,0.66667,0.8333,0.50849,1.4729,2.02393,1.64292,0.0180071,7.13873e-06,7.13873e-06
84,27.0829,0.88186,0.98438,1.1623,1,0.66667,0.8333,0.57728,1.34128,1.92942,1.54712,0.0170066,6.55141e-06,6.55141e-06
85,27.3782,1.05985,1.15963,1.25098,1,0.66667,0.8333,0.57728,1.34128,1.92942,1.54712,0.016006,5.98317e-06,5.98317e-06
86,27.6758,0.70132,1.01576,1.217,1,0.66667,0.8333,0.57728,1.34128,1.92942,1.54712,0.0150054,5.4359e-06,5.4359e-06
87,27.9659,0.95542,1.29251,1.21122,1,0.66667,0.8333,0.57728,1.34128,1.92942,1.54712,0.0140049,4.91151e-06,4.91151e-06
88,28.3948,1.25693,1.42262,1.63634,1,0.83333,0.9166,0.65179,1.24356,1.78631,1.47621,0.0130044,4.4119e-06,4.4119e-06
89,28.711,1.06066,1.49975,1.31457,1,0.83333,0.9166,0.65179,1.24356,1.78631,1.47621,0.0120039,3.93894e-06,3.93894e-06
90,29.0102,0.80297,1.33879,1.13134,1,0.83333,0.9166,0.65179,1.24356,1.78631,1.47621,0.0110035,3.4945e-06,3.4945e-06
